platform,app_id,source_file,source_api,source_loc,sink_file,sink_api,sink_loc,startpoint_type,flow_type
alipay,2021002121691977,index.worker.js,m.chooseLocation,15:147688,index.worker.js,m.setStorage,15:148367,api.asyn,local_storage
alipay,2021002121691977,index.worker.js,m.getStorageSync,15:146656,index.worker.js,m.setStorage,15:146754,api.asyn,local_storage
alipay,2021002121691977,index.worker.js,m.getStorageSync,15:310541,index.worker.js,m.setStorageSync,15:310578,api.asyn,local_storage
alipay,2021002127699828,index.worker.js,getStorageSync,17:1042110,index.worker.js,setStorage,17:1042189,api.asyn,local_storage
alipay,2021002127699828,index.worker.js,getStorageSync,17:1042110,index.worker.js,setStorageSync,17:1042156,api.asyn,local_storage
alipay,2021002135628153,index.worker.js,my.getAuthCode,15:58902,index.worker.js,a.login,15:58988,api.asyn,network_request
alipay,2021002135628153,index.worker.js,n.getStorageSync,15:57802,index.worker.js,n.setStorageSync,15:59142,api.asyn,local_storage
alipay,2021002135628153,index.worker.js,n.getStorageSync,15:344707,index.worker.js,n.uploadFile,15:344576,api.asyn,file_upload
alipay,2021002137661104,index.worker.js,e.getStorageSync,17:268617,index.worker.js,e.setStorageSync,17:268707,api.asyn,local_storage
alipay,2021002137661104,index.worker.js,e.login,17:161008,index.worker.js,n.doRequest,17:161069,api.asyn,network_request
alipay,2021002155688177,index.worker.js,getFileInfo,17:1058957,index.worker.js,x,17:1059077,api.asyn,local_storage
alipay,2021002155688177,index.worker.js,this.getStorage,17:821759,index.worker.js,e.system_api.setStorageSync,17:821859,api.asyn,local_storage
alipay,2021002163601771,index.worker.js,getAuthCode,17:418923,index.worker.js,u.default.post,17:419052,api.asyn,network_request
alipay,2021002174638299,index.worker.js,c.scanCode,15:14097,index.worker.js,e.doScanCode,15:14179,api.asyn,network_request
alipay,2021002174638299,splitchunk~0/index.worker.js,p.getAuthCode,1:20712,splitchunk~0/index.worker.js,c.default.post,1:20805,api.asyn,network_request
alipay,2021002174638299,splitchunk~1/index.worker.js,i.getLocation,1:23039,splitchunk~1/index.worker.js,l.default.post,1:23343,api.asyn,network_request
alipay,2021002174638299,splitchunk~2/index.worker.js,c.getPhoneNumber,1:12477,splitchunk~2/index.worker.js,f.default.post,1:12619,api.asyn,network_request
alipay,2021002176662899,index.worker.js,this.getStorage,17:564208,index.worker.js,e.system_api.setStorageSync,17:564308,api.asyn,local_storage
alipay,2021003147672148,index.worker.js,this.getStorage,17:378803,index.worker.js,f.system_api.setStorageSync,17:378903,api.asyn,local_storage
alipay,2021003147672148,index.worker.js,x.index.getStorageSync,17:81784,index.worker.js,x.index.setStorageSync,17:81969,api.asyn,local_storage
alipay,2021003158691058,index.worker.js,my.choosePhoneContact,1682:766400,index.worker.js,e.getPhone,1682:766443,api.asyn,local_storage
alipay,2021003158691058,index.worker.js,my.getAuthCode,1682:182443,index.worker.js,f,1682:182610,api.asyn,network_request
alipay,2021003158691058,index.worker.js,my.getLocation,1682:184596,index.worker.js,c,1682:184674,api.asyn,network_request
alipay,2021003158691058,index.worker.js,e.getStorageSync,1682:184645,index.worker.js,c,1682:184674,api.asyn,network_request
alipay,2021003158691058,index.worker.js,e.getStorageSync,1682:761744,index.worker.js,this.getPhone,1682:761771,api.asyn,local_storage
alipay,2021003158691058,index.worker.js,e.getStorageSync,1682:188838,index.worker.js,e.request,1682:189206,api.asyn,network_request
